0.00574329	0.0621958	0.000823779
0.00738423	0.0590523	0.000459959
0.00902518	0.052426	0.000324356
0.0106661	0.0444647	0.000248573
0.0123071	0.0362744	0.000198574
0.013948	0.0287787	0.000162281
0.0155889	0.0217123	0.000127694
0.0172299	0.0161589	0.000104725
0.0188708	0.0116392	8.82E-05
0.0205118	0.00819795	7.51E-05
0.0221527	0.00595139	6.55E-05
0.0237936	0.00448018	5.85E-05
0.0254346	0.00366812	5.38E-05
0.0270755	0.00336578	5.09E-05
0.0287165	0.00312789	4.85E-05
0.0303574	0.00304598	4.67E-05
0.0319983	0.00303621	4.51E-05
0.0336393	0.00296693	4.37E-05
0.0352802	0.00278833	4.21E-05
0.0369212	0.00248276	4.02E-05
0.0385621	0.00217388	3.85E-05
0.0402031	0.00183619	3.68E-05
0.041844	0.00154	3.53E-05
0.0434849	0.00128314	3.39E-05
0.0451259	0.00108596	3.27E-05
0.0467668	0.00093245	3.17E-05
0.0484078	0.000816246	3.08E-05
0.0500487	0.000779038	3.02E-05
0.0516896	0.000758693	2.96E-05
0.0533306	0.000749524	2.91E-05
0.0549715	0.000721967	2.85E-05
0.0566125	0.000658949	2.79E-05
0.0582534	0.000634523	2.74E-05
0.0598943	0.00058222	2.69E-05
0.0615353	0.000545225	2.64E-05
0.0631762	0.000488423	2.60E-05
0.0648172	0.000442848	2.55E-05
0.0664581	0.00040754	2.51E-05
0.0680991	0.000361918	2.46E-05
0.06974	0.000329246	2.42E-05
0.0713809	0.000300357	2.39E-05
0.0730219	0.000314085	2.37E-05
0.0746628	0.000350244	2.34E-05
0.0763038	0.000327516	2.31E-05
0.0779447	0.000318754	2.28E-05
0.0795856	0.000286069	2.25E-05
0.0812266	0.000246039	2.22E-05
0.0828675	0.000251404	2.20E-05
0.0845085	0.000248176	2.17E-05
0.0861494	0.000234868	2.14E-05
0.0877903	0.000221699	2.12E-05
0.0894313	0.000216336	2.10E-05
0.0910722	0.000210518	2.07E-05
0.0927132	0.000177821	2.05E-05
0.0943541	0.000173262	2.03E-05
0.095995	0.000171815	2.01E-05
0.097636	0.000155317	1.99E-05
0.0992769	0.00014579	1.97E-05
0.100918	0.000102205	1.95E-05
0.102559	0.000125332	1.93E-05
0.1042	0.000131516	1.91E-05
0.105841	0.00012189	1.90E-05
0.107482	0.000120128	1.89E-05
0.109123	0.000121535	1.87E-05
0.110764	0.000111679	1.85E-05
0.112404	0.000113141	1.84E-05
0.114045	9.28E-05	1.82E-05
0.115686	9.03E-05	1.80E-05
0.117327	8.96E-05	1.79E-05
0.118968	9.54E-05	1.78E-05
0.120609	7.88E-05	1.76E-05
0.12225	5.54E-05	1.74E-05
0.123891	6.15E-05	1.73E-05
0.125532	7.45E-05	1.72E-05
0.127173	8.01E-05	1.71E-05
0.128814	8.67E-05	1.70E-05
0.130455	8.56E-05	1.69E-05
0.132096	8.33E-05	1.67E-05
0.133737	7.81E-05	1.66E-05
0.135378	5.87E-05	1.65E-05
0.137019	4.98E-05	1.64E-05
0.13866	6.52E-05	1.63E-05
0.1403	7.95E-05	1.62E-05
0.141941	6.28E-05	1.61E-05
0.143582	6.36E-05	1.60E-05
0.145223	7.49E-05	1.59E-05
0.146864	6.15E-05	1.58E-05
0.148505	3.69E-05	1.56E-05
0.150146	3.45E-05	1.55E-05
0.151787	3.32E-05	1.54E-05
0.153428	5.63E-05	1.54E-05
0.155069	4.68E-05	1.53E-05
0.15671	5.49E-05	1.52E-05
0.158351	4.80E-05	1.51E-05
0.159992	5.74E-05	1.50E-05
0.161633	5.08E-05	1.49E-05
0.163274	1.44E-05	1.48E-05
0.164915	1.58E-05	1.47E-05
0.166556	6.14E-05	1.47E-05
0.168196	7.17E-05	1.47E-05
0.169837	4.52E-05	1.46E-05
0.171478	1.95E-05	1.44E-05
0.173119	3.37E-05	1.44E-05
0.17476	3.66E-05	1.43E-05
