Q_HBVCP_CAPSID_SMB	R_HBVCP_CAPSID_SMB	S_HBVCP_CAPSID_SMB
0.00459	0.4435425	0.01465333
0.00591	0.4106875	0.003338068
0.00722	0.3725757	0.002043581
0.008529999999999999	0.3305213	0.00144562
0.009849999999999999	0.2832101	0.001090786
0.0112	0.2358989	0.000867372
0.0125	0.190559	0.000709668
0.0138	0.1485046	0.0005894187
0.0151	0.1084215	0.0004901965999999999
0.0164	0.07556649999999999	0.0003975455
0.0177	0.0505967	0.0003443204
0.019	0.03180363999999999	0.0003029231
0.0203	0.01885877	0.0002707252
0.0217	0.0111707	0.0002470696
0.023	0.00775378	0.0002306421
0.0243	0.00663671	0.0002188143
0.0256	0.00755665	0.0002109291
0.0269	0.009922210000000001	0.0002050152
0.0282	0.01255061	0.0002004155
0.0295	0.01452191	0.0001964729
0.0308	0.01623037	0.0001925303
0.0322	0.01715031	0.0001879306
0.0335	0.01682176	0.0001833309
0.0348	0.01570469	0.000177417
0.0361	0.01399623	0.0001721602
0.0374	0.01228777	0.0001669034
0.0387	0.009987920000000001	0.0001616466
0.04	0.00775378	0.0001570469
0.0413	0.006058462	0.0001524472
0.0427	0.004619412999999999	0.0001485046
0.044	0.003581195	0.000144562
0.0453	0.002904382	0.0001419336
0.0466	0.002687539	0.0001399623
0.0479	0.002726965	0.0001373339
0.0492	0.002910953	0.0001360197
0.0505	0.003239502999999999	0.0001340484
0.0519	0.003587766	0.0001320771
0.0532	0.003817751	0.0001307629
0.0545	0.003850606	0.0001287916
0.0558	0.003692902	0.0001274774
0.0571	0.00348263	0.0001255061
0.0584	0.003035802	0.0001241919
0.0597	0.002615258	0.0001222206
0.061	0.002247282	0.0001202493
0.0624	0.001945016	0.0001189351
0.06370000000000001	0.001655892	0.0001169638
0.065	0.001478475	0.0001156496
0.0663	0.001255061	0.0001143354
0.06759999999999999	0.001360197	0.0001130212
0.0689	0.001412765	0.0001123641
0.0702	0.0013142	0.0001110499
0.07149999999999999	0.001320771	0.0001097357
0.07290000000000001	0.001439049	0.0001090786
0.0742	0.001393052	0.0001077644
0.0755	0.001465333	0.0001071073
0.07679999999999999	0.001452191	0.0001057931
0.0781	0.001563898	0.000105136
0.0794	0.001458762	0.0001038218
0.08069999999999999	0.001373339	0.0001031647
0.082	0.001327342	0.0001018505
0.0834	0.001136783	0.0001011934
0.0847	0.000946224	9.98792e-05
0.08599999999999999	0.000933082	9.922209999999999e-05
0.0873	0.000814804	9.8565e-05
0.0886	0.0007228099999999999	9.790789999999999e-05
0.08989999999999999	0.000801662	9.65937e-05
0.0912	0.0008410879999999999	9.59366e-05
0.0925	0.000847659	9.52795e-05
0.0939	0.0008542299999999999	9.462239999999999e-05
0.09520000000000001	0.0007688069999999999	9.396529999999999e-05
0.0965	0.0008542299999999999	9.33082e-05
0.0978	0.000873943	9.26511e-05
0.09909999999999999	0.000709668	9.1994e-05
0.1	0.000676813	9.13369e-05
0.102	0.0006360728	9.067979999999999e-05
0.103	0.0005933612999999999	9.002269999999999e-05
0.104	0.0005743053999999999	8.93656e-05
0.106	0.0005223945	8.87085e-05
0.107	0.0004126587999999999	8.80514e-05
0.108	0.0004461708999999999	8.739429999999999e-05
0.11	0.0003653476	8.739429999999999e-05
0.111	0.0002510122	8.60801e-05
0.112	0.000282553	8.60801e-05
0.114	0.0004093733	8.542299999999998e-05
0.115	0.0004553703	8.47659e-05
0.116	0.0004120017	8.410879999999999e-05
0.117	0.0004304005	8.345169999999999e-05
0.119	0.0004875682	8.27946e-05
0.12	0.0005743053999999999	8.27946e-05
0.121	0.0005151664	8.21375e-05
0.123	0.0004934821	8.14804e-05
0.124	0.0003995168	8.08233e-05
0.125	0.0003732328	8.08233e-05
0.127	0.0003121225	8.016619999999999e-05
0.128	0.0002713823	7.950909999999999e-05
0.129	0.0002930666	7.950909999999999e-05
0.131	0.0003318355	7.8852e-05
0.132	0.0003863748	7.81949e-05
0.133	0.0003909745	7.81949e-05
0.135	0.000295695	7.75378e-05
0.136	0.0002733536	7.688069999999999e-05
0.137	0.0001984442	7.688069999999999e-05
0.138	0.0002733536	7.622360000000001e-05
0.14	0.0002043581	7.55665e-05
0.141	0.0002385273	7.55665e-05
0.142	0.0002950379	7.49094e-05
0.144	0.0003016089	7.49094e-05
0.145	0.0002786104	7.42523e-05
0.146	0.0003955742	7.42523e-05
0.148	0.0003837464	7.359519999999999e-05
0.149	0.000289124	7.359519999999999e-05
0.15	0.000302266	7.293810000000001e-05
0.152	0.0003344639	7.293810000000001e-05
0.153	0.0002871527	7.228099999999999e-05
0.154	0.0002641542	7.16239e-05
0.156	0.0003502343	7.16239e-05
0.157	0.000374547	7.09668e-05
0.158	0.0002904382	7.09668e-05
0.159	0.0003134367	7.030969999999999e-05
0.161	0.0002017297	7.030969999999999e-05
0.162	7.49094e-05	6.96526e-05
0.163	0.0001044789	6.96526e-05
0.165	0.0001347055	6.899549999999999e-05
0.166	0.000164275	6.899549999999999e-05
0.167	9.26511e-05	6.83384e-05
0.169	0.000157704	6.83384e-05
0.17	0.0001360197	6.76813e-05
0.171	0.000216843	6.76813e-05
0.173	7.950909999999999e-05	6.70242e-05
0.174	-3.982025999999999e-05	6.70242e-05
0.175	4.290863e-05	6.636709999999999e-05
0.177	0.0001425907	6.636709999999999e-05
0.178	4.954534e-05	6.636709999999999e-05
0.179	9.002269999999999e-05	6.571000000000001e-05
0.18	0.0001826738	6.571000000000001e-05
0.182	0.0001478475	6.544716e-05
0.183	0.0001813596	6.518432e-05
0.184	0.0001491617	6.492148e-05
0.186	0.0001524472	6.465864000000001e-05
0.187	0.0001419336	6.43958e-05
0.188	0.0001195922	6.419866999999999e-05
0.19	6.70242e-05	6.433009e-05
0.191	-6.157026999999999e-06	6.400154e-05
0.192	7.622359999999999e-06	6.37387e-05
0.194	9.067979999999999e-05	6.341015e-05
0.195	6.96526e-05	6.314730999999999e-05
0.196	0.0001636179	6.301589e-05
0.198	0.0001741315	6.275305e-05
0.199	0.0001452191	6.249020999999999e-05
