Q_HBVCP_CAPSID_SMB	R_HBVCP_CAPSID_SMB	S_HBVCP_CAPSID_SMB
0.2	0.0001991013	6.229308e-05
0.201	0.0002076436	6.203023999999999e-05
0.203	0.0001544185	6.183311e-05
0.204	3.515484999999999e-05	6.157027e-05
0.205	0.0001366768	6.137314000000001e-05
0.207	6.11103e-05	6.117601e-05
0.208	8.14804e-05	6.097887999999999e-05
0.209	4.658839e-05	6.071604e-05
0.211	3.541769e-05	6.051890999999999e-05
0.212	5.447359e-05	6.032178e-05
0.213	4.514277e-05	6.012465e-05
0.215	5.473643e-05	5.992752e-05
0.216	0.0001156496	5.973038999999999e-05
0.217	0.000170846	5.953326e-05
0.219	0.0001097357	5.933613e-05
0.22	8.47659e-05	5.920471e-05
0.221	3.824322e-05	5.881045000000001e-05
0.222	9.52795e-05	5.867902999999999e-05
0.224	9.396529999999999e-05	5.848189999999999e-05
0.225	4.757404e-05	5.828477e-05
0.226	9.8565e-05	5.854761e-05
0.228	5.243658e-05	5.835047999999999e-05
0.229	0.000105136	5.815334999999999e-05
0.23	9.725079999999999e-05	5.795622e-05
0.232	2.089578e-05	5.769338e-05
0.233	-6.899549999999999e-05	5.749624999999999e-05
0.234	-6.518432e-05	5.729912e-05
0.236	2.950379e-05	5.71677e-05
0.237	0.0001123641	5.697057e-05
0.238	8.016619999999999e-05	5.683915e-05
0.24	8.14804e-05	5.657631e-05
0.241	0.0001491617	5.637917999999999e-05
0.242	0.00013142	5.624775999999999e-05
0.244	1.64275e-05	5.605063e-05
0.245	-8.936559999999999e-06	5.591921e-05
0.246	8.410879999999999e-05	5.578779e-05
0.247	7.16239e-05	5.559066e-05
0.249	6.249020999999999e-05	5.545924e-05
0.25	2.753249e-05	5.526211e-05
0.251	3.397207e-05	5.513069e-05
0.253	5.644489e-05	5.499926999999999e-05
0.254	2.326134e-05	5.486784999999999e-05
0.255	4.947963e-05	5.467072e-05
0.257	3.673189e-05	5.45393e-05
0.258	9.002269999999999e-05	5.440788e-05
0.259	0.0001294487	5.414504e-05
0.261	8.542299999999998e-05	5.394790999999999e-05
0.262	8.739429999999999e-05	5.381648999999999e-05
0.263	0.0001031647	5.368507e-05
0.265	0.0001163067	5.355365e-05
0.266	3.692902e-05	5.342223e-05
0.267	0.0001018505	5.329081e-05
0.268	0.0001064502	5.315939e-05
0.27	6.518432e-05	5.302797e-05
0.271	7.81949e-05	5.289654999999999e-05
0.272	0.0001044789	5.269941999999999e-05
0.274	8.60801e-05	5.2568e-05
0.275	4.363144e-05	5.250228999999999e-05
0.276	4.356573e-05	5.230516e-05
0.278	0.0001005363	5.217374e-05
0.279	3.048944e-05	5.204232e-05
0.28	2.260424e-05	5.19109e-05
0.282	1.386481e-05	5.177948e-05
0.283	1.655892e-05	5.171376999999999e-05
0.284	3.798038e-05	5.158234999999999e-05
0.286	1.807025e-05	5.138522e-05
0.287	0.0001432478	5.131951e-05
0.288	0.0001465333	5.118809e-05
0.289	-6.268734e-06	5.171376999999999e-05
0.291	-1.964729e-05	5.250228999999999e-05
0.292	9.922209999999999e-05	5.329081e-05
0.293	8.80514e-05	5.276513e-05
0.295	0.0001156496	5.263371e-05
0.296	0.0001228777	5.276513e-05
0.297	0.0001899019	5.263371e-05
0.299	0.0001912161	5.407933e-05
0.3	0.0001156496	5.45393e-05
0.301	0.0001439049	5.401362e-05
0.303	9.52795e-05	5.559066e-05
0.304	8.345169999999999e-05	5.480214e-05
0.305	-1.057931e-05	5.513069e-05
0.307	1.110499e-06	5.486784999999999e-05
0.308	9.396529999999999e-06	5.493356e-05
0.309	9.52795e-05	5.519639999999999e-05
0.31	0.000111707	5.664202e-05
0.312	4.330288999999999e-05	5.637917999999999e-05
0.313	2.661255e-05	5.631346999999999e-05
0.314	2.845243e-05	5.572208e-05
0.316	7.753779999999999e-06	5.697057e-05
0.317	-2.529835e-05	5.618205e-05
0.318	3.660047e-05	5.624775999999999e-05
0.32	3.134367e-05	5.670773e-05
0.321	9.067979999999999e-05	5.65106e-05
0.322	0.0001327342	5.769338e-05
0.324	0.0002017297	5.677344e-05
0.325	0.0001629608	5.828477e-05
0.326	2.983234e-05	5.697057e-05
0.328	-3.134367e-05	5.940183999999999e-05
0.329	-4.671980999999999e-05	6.038749e-05
0.33	-5.007102e-05	6.275305e-05
0.331	3.968883999999999e-05	6.025607e-05
0.333	4.40257e-05	6.183311e-05
0.334	6.571000000000001e-05	6.314730999999999e-05
0.335	0.0001110499	6.485577e-05
0.337	2.95695e-05	6.76813e-05
0.338	1.320771e-05	6.571000000000001e-05
0.339	6.452721999999999e-05	6.83384e-05
0.341	4.514277e-05	6.83384e-05
0.342	3.2855e-05	7.030969999999999e-05
0.343	0.0002135575	6.96526e-05
0.345	0.0001563898	6.96526e-05
0.346	2.674397e-05	7.228099999999999e-05
0.347	-2.779533e-06	7.09668e-05
0.349	-9.199399999999999e-06	7.42523e-05
0.35	-6.50529e-06	7.81949e-05
0.351	2.398415e-05	7.228099999999999e-05
0.352	9.1994e-05	8.14804e-05
0.354	-9.330819999999999e-06	7.8852e-05
0.355	-2.812388e-05	7.49094e-05
0.356	1.458762e-05	7.75378e-05
0.358	2.115862e-05	8.016619999999999e-05
0.359	-3.771754e-05	7.950909999999999e-05
0.36	-1.563898e-05	8.14804e-05
0.362	-2.943808e-05	8.60801e-05
0.363	-3.029231e-05	8.345169999999999e-05
0.364	0.0001103928	8.345169999999999e-05
0.366	4.152872e-05	8.410879999999999e-05
0.367	5.743053999999999e-05	8.345169999999999e-05
0.368	0.0001925303	8.345169999999999e-05
0.37	0.0002917524	8.87085e-05
0.371	0.0002582403	8.93656e-05
0.372	1.333913e-05	8.739429999999999e-05
0.373	7.622360000000001e-05	9.65937e-05
0.375	8.80514e-05	8.93656e-05
0.376	7.8852e-05	9.725079999999999e-05
0.377	0.0001077644	9.98792e-05
0.379	0.0001754457	9.65937e-05
0.38	0.0001077644	9.725079999999999e-05
0.381	0.0001603324	0.0001011934
0.383	0.0001169638	0.0001011934
0.384	9.00227e-06	0.0001031647
0.385	1.373339e-05	9.790789999999999e-05
0.387	-1.675605e-05	0.000105136
0.388	-0.0001833309	0.0001064502
0.389	-8.410879999999999e-05	0.000111707
0.391	1.202493e-05	0.0001044789
0.392	-0.0001077644	0.0001103928
0.393	-1.215635e-05	0.0001103928
0.394	4.632555e-05	0.0001136783
0.396	-7.55665e-06	0.0001156496
0.397	9.790789999999999e-05	0.0001274774
0.398	0.0001327342	0.0001320771
0.4	-2.247282e-05	0.0001176209
0.401	-8.016619999999999e-05	0.0001287916
0.402	-3.830893e-05	0.0001274774
0.404	0.0002516693	0.0001498188
0.405	0.000249698	0.0001373339
0.406	0.0001025076	0.0001478475
0.408	6.446150999999999e-05	0.000137991
0.409	9.98792e-05	0.0001393052
0.41	0.0002832101	0.0001439049
0.412	0.0001813596	0.0001715031
0.413	-4.494563999999999e-05	0.0001478475
0.414	-6.051890999999999e-05	0.0001715031
0.415	7.228099999999999e-05	0.0001563898
0.417	0.000275982	0.0001879306
0.418	0.0002864956	0.0001662463
0.419	2.634971e-05	0.0001780741
0.421	0.0001767599	0.0001688747
0.422	-5.197661e-05	0.0001925303
0.423	7.688069999999999e-05	0.000177417
0.425	4.343431e-05	0.0002017297
0.426	0.000243127	0.0002523264
0.427	0.0003167222	0.0002175001
0.429	0.0002575832	0.0002043581
0.43	0.0003055515	0.0002700681
0.431	0.0001787312	0.0002733536
0.433	-8.80514e-05	0.0002687539
0.434	0.0003403778	0.0003140938
0.435	0.0004251437	0.0002720394
0.436	0.0003627192	0.0002845243
0.438	0.0003002947	0.0003081799
0.439	0.0004882253	0.0003968883999999999
0.44	2.845243e-05	0.0003673189
0.442	0.0001550756	0.0003094941
0.443	0.0001386481	0.0003239503
0.444	0.0001255061	0.0003515485
0.446	5.762767e-05	0.000433686
0.447	-1.077644e-05	0.0004356573
0.448	-2.122433e-05	0.000361405
0.45	-1.130212e-05	0.0003791467
0.451	0.000604532	0.0004192298
0.452	0.0002326134	0.001077644
