
Sample:   c= 0 mg/ml  Code: 
 8.532400e-003  9.465800e-004  3.430957e-004
 9.845080e-003  1.404450e-003  2.548226e-004
 1.115780e-002  1.473180e-003  2.029992e-004
 1.247040e-002  1.407850e-003  1.693890e-004
 1.378310e-002  1.461500e-003  1.462975e-004
 1.509580e-002  1.381341e-003  1.286095e-004
 1.640850e-002  1.159214e-003  1.108085e-004
 1.772110e-002  1.108716e-003  1.014183e-004
 1.903380e-002  1.149036e-003  9.396181e-005
 2.034650e-002  1.017218e-003  8.773222e-005
 2.165920e-002  1.001469e-003  8.280437e-005
 2.297180e-002  1.054721e-003  7.870828e-005
 2.428450e-002  1.083335e-003  7.490685e-005
 2.559720e-002  1.074630e-003  7.203685e-005
 2.690990e-002  9.545640e-004  6.956279e-005
 2.822260e-002  1.028499e-003  6.738471e-005
 2.953520e-002  9.016750e-004  6.577697e-005
 3.084790e-002  9.311590e-004  6.383276e-005
 3.216060e-002  1.016932e-003  6.192725e-005
 3.347330e-002  9.585790e-004  6.042466e-005
 3.478590e-002  1.005196e-003  5.877166e-005
 3.609860e-002  9.667370e-004  5.723723e-005
 3.741130e-002  9.274590e-004  5.597104e-005
 3.872400e-002  8.800300e-004  5.482503e-005
 4.003660e-002  7.635580e-004  5.386911e-005
 4.134930e-002  7.804780e-004  5.258176e-005
 4.266200e-002  7.252390e-004  5.160063e-005
 4.397470e-002  6.329840e-004  5.071074e-005
 4.528740e-002  6.057020e-004  4.986275e-005
 4.660000e-002  6.293380e-004  4.904745e-005
 4.791270e-002  5.945690e-004  4.825753e-005
 4.922540e-002  5.251200e-004  4.750479e-005
 5.053810e-002  6.048070e-004  4.664984e-005
 5.185070e-002  5.638560e-004  4.615522e-005
 5.316340e-002  5.411830e-004  4.544492e-005
 5.447610e-002  5.456100e-004  4.477315e-005
 5.578880e-002  4.468170e-004  4.412850e-005
 5.710140e-002  4.715550e-004  4.328663e-005
 5.841410e-002  4.928350e-004  4.296918e-005
 5.972680e-002  4.567620e-004  4.251686e-005
 6.103950e-002  3.898680e-004  4.201387e-005
 6.235220e-002  3.647410e-004  4.154442e-005
 6.366480e-002  4.285350e-004  4.092555e-005
 6.497750e-002  3.744440e-004  4.039542e-005
 6.629020e-002  3.572970e-004  3.980873e-005
 6.760290e-002  3.131400e-004  3.946916e-005
 6.891550e-002  2.939350e-004  3.910701e-005
 7.022820e-002  2.468810e-004  3.867112e-005
 7.154090e-002  2.592330e-004  3.819791e-005
 7.285360e-002  3.057790e-004  3.784830e-005
 7.416630e-002  2.472660e-004  3.755049e-005
 7.547890e-002  2.352790e-004  3.722732e-005
 7.679160e-002  2.272980e-004  3.687141e-005
 7.810430e-002  1.950700e-004  3.650980e-005
 7.941700e-002  1.803130e-004  3.614730e-005
 8.072960e-002  2.035030e-004  3.581741e-005
 8.204230e-002  2.017640e-004  3.542396e-005
 8.335500e-002  2.248200e-004  3.519875e-005
 8.466770e-002  2.211970e-004  3.479521e-005
 8.598030e-002  2.035790e-004  3.449699e-005
 8.729300e-002  1.639660e-004  3.420095e-005
 8.860570e-002  1.534840e-004  3.385633e-005
 8.991840e-002  1.951980e-004  3.354701e-005
 9.123110e-002  1.578310e-004  3.333244e-005
 9.254370e-002  1.286770e-004  3.305196e-005
 9.385640e-002  1.175340e-004  3.284935e-005
 9.516910e-002  1.183730e-004  3.256902e-005
 9.648180e-002  1.241710e-004  3.233899e-005
 9.779440e-002  1.429120e-004  3.209383e-005
 9.910710e-002  9.207900e-005  3.191806e-005
 1.004200e-001  7.378100e-005  3.171376e-005
 1.017320e-001  1.319620e-004  3.144759e-005
 1.030450e-001  8.937700e-005  3.122837e-005
 1.043580e-001  3.972800e-005  3.106402e-005
 1.056700e-001  1.043300e-004  3.077891e-005
 1.069830e-001  1.166680e-004  3.059530e-005
 1.082960e-001  8.414100e-005  3.048621e-005
 1.096090e-001  2.984300e-005  3.034258e-005
 1.109210e-001  6.247000e-006  3.006442e-005
 1.122340e-001  3.026700e-005  2.981706e-005
 1.135470e-001  4.106000e-005  2.963758e-005
 1.148590e-001  4.216300e-005  2.938720e-005
 1.161720e-001  2.150900e-005  2.923629e-005
 1.174850e-001  5.021200e-005  2.903476e-005
 1.187970e-001  7.219000e-005  2.888836e-005
 1.201100e-001  7.353700e-005  2.866394e-005
 1.214230e-001  8.163300e-005  2.844728e-005
 1.227350e-001  4.313700e-005  2.824177e-005
 1.240480e-001  4.715000e-006  2.811237e-005
 1.253610e-001  6.298600e-005  2.793169e-005
 1.266730e-001  8.718300e-005  2.783746e-005
 1.279860e-001  6.777700e-005  2.767268e-005
 1.292990e-001  8.237100e-005  2.746926e-005
 1.306110e-001  7.736300e-005  2.729573e-005
 1.319240e-001  4.146600e-005  2.719006e-005
 1.332370e-001  2.343300e-005  2.704048e-005
 1.345490e-001  1.882300e-005  2.686146e-005
 1.358620e-001  6.619000e-006  2.676734e-005
range-from: 4
range-to: 101
