
Sample:   c= 0 mg/ml  Code: 
 8.532400e-003  2.452480e-003  3.468756e-004
 9.845080e-003  2.762840e-003  2.582911e-004
 1.115780e-002  2.581270e-003  2.059371e-004
 1.247040e-002  2.405690e-003  1.720624e-004
 1.378310e-002  2.252660e-003  1.484574e-004
 1.509580e-002  2.183657e-003  1.307457e-004
 1.640850e-002  1.935849e-003  1.127733e-004
 1.772110e-002  1.788693e-003  1.031560e-004
 1.903380e-002  1.818284e-003  9.565823e-005
 2.034650e-002  1.722961e-003  8.950265e-005
 2.165920e-002  1.594705e-003  8.429044e-005
 2.297180e-002  1.593012e-003  8.004760e-005
 2.428450e-002  1.589659e-003  7.615300e-005
 2.559720e-002  1.468449e-003  7.302469e-005
 2.690990e-002  1.504588e-003  7.086140e-005
 2.822260e-002  1.421778e-003  6.833431e-005
 2.953520e-002  1.140067e-003  6.639033e-005
 3.084790e-002  1.090611e-003  6.427783e-005
 3.216060e-002  1.166064e-003  6.234346e-005
 3.347330e-002  1.071099e-003  6.076011e-005
 3.478590e-002  1.128119e-003  5.912265e-005
 3.609860e-002  1.112566e-003  5.762659e-005
 3.741130e-002  1.012695e-003  5.623886e-005
 3.872400e-002  9.461660e-004  5.505123e-005
 4.003660e-002  8.020130e-004  5.404597e-005
 4.134930e-002  8.264700e-004  5.276756e-005
 4.266200e-002  7.954350e-004  5.182463e-005
 4.397470e-002  7.067550e-004  5.093744e-005
 4.528740e-002  6.378420e-004  5.001532e-005
 4.660000e-002  6.333790e-004  4.915231e-005
 4.791270e-002  6.196340e-004  4.839624e-005
 4.922540e-002  5.587730e-004  4.765717e-005
 5.053810e-002  6.037760e-004  4.674554e-005
 5.185070e-002  5.444960e-004  4.621525e-005
 5.316340e-002  5.329450e-004  4.552094e-005
 5.447610e-002  5.228750e-004  4.482333e-005
 5.578880e-002  4.313480e-004  4.418959e-005
 5.710140e-002  4.500620e-004  4.333330e-005
 5.841410e-002  4.520220e-004  4.299121e-005
 5.972680e-002  4.148040e-004  4.253564e-005
 6.103950e-002  3.495750e-004  4.203593e-005
 6.235220e-002  2.984530e-004  4.152766e-005
 6.366480e-002  3.637990e-004  4.091034e-005
 6.497750e-002  3.318930e-004  4.041204e-005
 6.629020e-002  3.895590e-004  3.993319e-005
 6.760290e-002  3.152730e-004  3.954838e-005
 6.891550e-002  2.686670e-004  3.914319e-005
 7.022820e-002  2.326250e-004  3.872028e-005
 7.154090e-002  2.619880e-004  3.827294e-005
 7.285360e-002  2.899830e-004  3.789906e-005
 7.416630e-002  2.220630e-004  3.758708e-005
 7.547890e-002  2.380610e-004  3.730908e-005
 7.679160e-002  2.480860e-004  3.697803e-005
 7.810430e-002  2.287450e-004  3.662393e-005
 7.941700e-002  2.066910e-004  3.625203e-005
 8.072960e-002  1.717150e-004  3.584515e-005
 8.204230e-002  1.846170e-004  3.546663e-005
 8.335500e-002  1.927330e-004  3.522284e-005
 8.466770e-002  2.007400e-004  3.483819e-005
 8.598030e-002  2.196340e-004  3.458546e-005
 8.729300e-002  1.594730e-004  3.426135e-005
 8.860570e-002  1.455510e-004  3.391106e-005
 8.991840e-002  1.615090e-004  3.356995e-005
 9.123110e-002  1.597750e-004  3.339956e-005
 9.254370e-002  1.547470e-004  3.314762e-005
 9.385640e-002  1.516770e-004  3.295627e-005
 9.516910e-002  1.258990e-004  3.263638e-005
 9.648180e-002  9.634900e-005  3.236756e-005
 9.779440e-002  1.203600e-004  3.212750e-005
 9.910710e-002  7.804400e-005  3.197004e-005
 1.004200e-001  1.175030e-004  3.182182e-005
 1.017320e-001  1.019730e-004  3.146909e-005
 1.030450e-001  6.835100e-005  3.125880e-005
 1.043580e-001  4.630500e-005  3.113222e-005
 1.056700e-001  1.060680e-004  3.084021e-005
 1.069830e-001  7.404200e-005  3.060397e-005
 1.082960e-001  3.834100e-005  3.048931e-005
 1.096090e-001  2.643200e-005  3.038896e-005
 1.109210e-001  1.864500e-005  3.013704e-005
 1.122340e-001  4.311600e-005  2.989065e-005
 1.135470e-001  6.490200e-005  2.972324e-005
 1.148590e-001  6.083600e-005  2.946415e-005
 1.161720e-001  3.846900e-005  2.931096e-005
 1.174850e-001  8.007500e-005  2.912389e-005
 1.187970e-001  5.806700e-005  2.892930e-005
 1.201100e-001  7.242200e-005  2.871490e-005
 1.214230e-001  8.023600e-005  2.850096e-005
 1.227350e-001  7.788200e-005  2.833535e-005
 1.240480e-001  5.457200e-005  2.822205e-005
 1.253610e-001  4.905000e-005  2.796959e-005
 1.266730e-001  6.498500e-005  2.786860e-005
 1.279860e-001  4.881300e-005  2.770611e-005
 1.292990e-001  7.511800e-005  2.751724e-005
 1.306110e-001  6.277500e-005  2.733518e-005
 1.319240e-001  1.051400e-005  2.720755e-005
 1.332370e-001  1.646200e-005  2.708525e-005
 1.345490e-001  5.456700e-005  2.695380e-005
 1.358620e-001  5.203900e-005  2.686829e-005
range-from: 4
range-to: 101
