
Sample:   c= 0 mg/ml  Code: 
 7.219720e-003  4.295970e-003  5.052180e-004
 8.532400e-003  4.419200e-003  3.482309e-004
 9.845080e-003  4.516630e-003  2.600243e-004
 1.115780e-002  4.184540e-003  2.078525e-004
 1.247040e-002  3.775040e-003  1.737746e-004
 1.378310e-002  3.433070e-003  1.499521e-004
 1.509580e-002  3.101296e-003  1.317515e-004
 1.640850e-002  2.701440e-003  1.134936e-004
 1.772110e-002  2.609460e-003  1.040792e-004
 1.903380e-002  2.496577e-003  9.632084e-005
 2.034650e-002  2.246333e-003  8.987119e-005
 2.165920e-002  1.967059e-003  8.438612e-005
 2.297180e-002  1.873113e-003  7.996965e-005
 2.428450e-002  1.809845e-003  7.597395e-005
 2.559720e-002  1.691148e-003  7.287411e-005
 2.690990e-002  1.554230e-003  7.036624e-005
 2.822260e-002  1.506405e-003  6.793145e-005
 2.953520e-002  1.280870e-003  6.612986e-005
 3.084790e-002  1.236084e-003  6.403959e-005
 3.216060e-002  1.252682e-003  6.199881e-005
 3.347330e-002  1.134689e-003  6.039200e-005
 3.478590e-002  1.213789e-003  5.880488e-005
 3.609860e-002  1.156882e-003  5.724069e-005
 3.741130e-002  1.073411e-003  5.589889e-005
 3.872400e-002  1.006357e-003  5.472096e-005
 4.003660e-002  8.759040e-004  5.375349e-005
 4.134930e-002  9.067640e-004  5.249335e-005
 4.266200e-002  8.301110e-004  5.147945e-005
 4.397470e-002  7.453370e-004  5.061037e-005
 4.528740e-002  7.037740e-004  4.974326e-005
 4.660000e-002  7.024930e-004  4.889251e-005
 4.791270e-002  6.259970e-004  4.803768e-005
 4.922540e-002  5.897140e-004  4.734424e-005
 5.053810e-002  6.237290e-004  4.641823e-005
 5.185070e-002  5.288000e-004  4.584067e-005
 5.316340e-002  5.245030e-004  4.516555e-005
 5.447610e-002  5.403740e-004  4.451391e-005
 5.578880e-002  4.598560e-004  4.390521e-005
 5.710140e-002  5.215600e-004  4.312291e-005
 5.841410e-002  4.938900e-004  4.273648e-005
 5.972680e-002  4.147760e-004  4.222399e-005
 6.103950e-002  3.617980e-004  4.174445e-005
 6.235220e-002  2.802240e-004  4.120010e-005
 6.366480e-002  3.434670e-004  4.058215e-005
 6.497750e-002  3.684480e-004  4.016782e-005
 6.629020e-002  4.000900e-004  3.965268e-005
 6.760290e-002  3.363310e-004  3.929075e-005
 6.891550e-002  2.593640e-004  3.884984e-005
 7.022820e-002  2.502800e-004  3.846776e-005
 7.154090e-002  3.026860e-004  3.805076e-005
 7.285360e-002  3.030540e-004  3.764066e-005
 7.416630e-002  2.294240e-004  3.732568e-005
 7.547890e-002  2.073640e-004  3.700595e-005
 7.679160e-002  1.622810e-004  3.659949e-005
 7.810430e-002  1.743680e-004  3.629275e-005
 7.941700e-002  1.573580e-004  3.593042e-005
 8.072960e-002  1.854070e-004  3.560895e-005
 8.204230e-002  2.197260e-004  3.526035e-005
 8.335500e-002  1.621950e-004  3.493738e-005
 8.466770e-002  1.434780e-004  3.451453e-005
 8.598030e-002  1.615700e-004  3.426468e-005
 8.729300e-002  1.519710e-004  3.400994e-005
 8.860570e-002  1.579400e-004  3.368484e-005
 8.991840e-002  2.011280e-004  3.337939e-005
 9.123110e-002  1.455520e-004  3.314501e-005
 9.254370e-002  1.388900e-004  3.289427e-005
 9.385640e-002  1.161940e-004  3.268135e-005
 9.516910e-002  1.362490e-004  3.242133e-005
 9.648180e-002  1.330500e-004  3.218236e-005
 9.779440e-002  1.660260e-004  3.195224e-005
 9.910710e-002  1.364620e-004  3.181050e-005
 1.004200e-001  1.233660e-004  3.160922e-005
 1.017320e-001  1.679720e-004  3.132385e-005
 1.030450e-001  1.072910e-004  3.108575e-005
 1.043580e-001  4.551400e-005  3.091674e-005
 1.056700e-001  6.892000e-005  3.058229e-005
 1.069830e-001  6.385000e-005  3.038050e-005
 1.082960e-001  4.296100e-005  3.028588e-005
 1.096090e-001  2.546000e-006  3.015576e-005
 1.109210e-001  2.306400e-005  2.993224e-005
 1.122340e-001  1.000910e-004  2.974319e-005
 1.135470e-001  8.173200e-005  2.953403e-005
 1.148590e-001  5.076600e-005  2.924833e-005
 1.161720e-001  1.425400e-005  2.908187e-005
 1.174850e-001  3.457100e-005  2.887208e-005
 1.187970e-001  3.481000e-005  2.870073e-005
 1.201100e-001  5.901900e-005  2.850148e-005
 1.214230e-001  8.432700e-005  2.830617e-005
 1.227350e-001  8.358900e-005  2.814294e-005
 1.240480e-001  3.027600e-005  2.800082e-005
 1.253610e-001  8.200800e-005  2.781061e-005
 1.266730e-001  1.007090e-004  2.771141e-005
 1.279860e-001  5.144700e-005  2.751907e-005
 1.292990e-001  4.969800e-005  2.729708e-005
 1.306110e-001  7.508600e-005  2.715422e-005
 1.319240e-001  5.157300e-005  2.706196e-005
 1.332370e-001  5.260000e-005  2.693319e-005
 1.345490e-001  2.619400e-005  2.673637e-005
 1.358620e-001  1.697500e-005  2.664549e-005
range-from: 3
range-to: 101
