
Sample:   c= 0 mg/ml  Code: 
 8.532400e-003  3.678300e-004  3.335842e-004
 9.845080e-003  9.653000e-004  2.476428e-004
 1.115780e-002  1.281490e-003  1.975868e-004
 1.247040e-002  1.154620e-003  1.646399e-004
 1.378310e-002  1.173760e-003  1.420212e-004
 1.509580e-002  1.305072e-003  1.252806e-004
 1.640850e-002  1.097593e-003  1.079388e-004
 1.772110e-002  9.626360e-004  9.859563e-005
 1.903380e-002  8.816330e-004  9.105445e-005
 2.034650e-002  9.341010e-004  8.539744e-005
 2.165920e-002  9.225900e-004  8.058739e-005
 2.297180e-002  1.010961e-003  7.666286e-005
 2.428450e-002  1.025895e-003  7.292810e-005
 2.559720e-002  9.858440e-004  7.006956e-005
 2.690990e-002  9.098110e-004  6.775277e-005
 2.822260e-002  8.690490e-004  6.540024e-005
 2.953520e-002  7.480770e-004  6.385760e-005
 3.084790e-002  8.256730e-004  6.205831e-005
 3.216060e-002  8.858270e-004  6.015614e-005
 3.347330e-002  8.227310e-004  5.868365e-005
 3.478590e-002  9.235480e-004  5.717406e-005
 3.609860e-002  8.948930e-004  5.569666e-005
 3.741130e-002  8.757480e-004  5.449816e-005
 3.872400e-002  8.435320e-004  5.340605e-005
 4.003660e-002  6.870060e-004  5.241120e-005
 4.134930e-002  7.393500e-004  5.121834e-005
 4.266200e-002  7.276660e-004  5.033582e-005
 4.397470e-002  6.673900e-004  4.952329e-005
 4.528740e-002  6.077790e-004  4.864490e-005
 4.660000e-002  5.787900e-004  4.776127e-005
 4.791270e-002  5.598600e-004  4.701978e-005
 4.922540e-002  5.118930e-004  4.632423e-005
 5.053810e-002  6.233840e-004  4.553846e-005
 5.185070e-002  5.640780e-004  4.502451e-005
 5.316340e-002  5.130400e-004  4.428802e-005
 5.447610e-002  4.604340e-004  4.354539e-005
 5.578880e-002  4.453870e-004  4.304584e-005
 5.710140e-002  4.970570e-004  4.226417e-005
 5.841410e-002  4.759800e-004  4.189526e-005
 5.972680e-002  4.005060e-004  4.139700e-005
 6.103950e-002  3.696950e-004  4.095888e-005
 6.235220e-002  3.308220e-004  4.048142e-005
 6.366480e-002  3.727230e-004  3.984554e-005
 6.497750e-002  3.721310e-004  3.940316e-005
 6.629020e-002  3.703300e-004  3.885320e-005
 6.760290e-002  3.086730e-004  3.850057e-005
 6.891550e-002  2.694040e-004  3.811864e-005
 7.022820e-002  2.580420e-004  3.774175e-005
 7.154090e-002  2.924540e-004  3.731188e-005
 7.285360e-002  2.965710e-004  3.691242e-005
 7.416630e-002  1.953660e-004  3.656614e-005
 7.547890e-002  2.276870e-004  3.631488e-005
 7.679160e-002  2.284410e-004  3.597981e-005
 7.810430e-002  2.421590e-004  3.567914e-005
 7.941700e-002  2.214180e-004  3.531986e-005
 8.072960e-002  2.278760e-004  3.497607e-005
 8.204230e-002  2.342970e-004  3.459986e-005
 8.335500e-002  2.041120e-004  3.431392e-005
 8.466770e-002  1.726420e-004  3.388304e-005
 8.598030e-002  1.866630e-004  3.363695e-005
 8.729300e-002  1.778030e-004  3.338648e-005
 8.860570e-002  1.781700e-004  3.306084e-005
 8.991840e-002  2.071780e-004  3.274418e-005
 9.123110e-002  1.753750e-004  3.254263e-005
 9.254370e-002  1.749420e-004  3.230295e-005
 9.385640e-002  1.715590e-004  3.211522e-005
 9.516910e-002  1.552260e-004  3.181649e-005
 9.648180e-002  1.361090e-004  3.156355e-005
 9.779440e-002  1.465420e-004  3.131432e-005
 9.910710e-002  1.153810e-004  3.117463e-005
 1.004200e-001  1.005820e-004  3.097173e-005
 1.017320e-001  1.425240e-004  3.069559e-005
 1.030450e-001  9.739200e-005  3.047847e-005
 1.043580e-001  2.158300e-005  3.028676e-005
 1.056700e-001  7.663300e-005  2.999940e-005
 1.069830e-001  8.310100e-005  2.981431e-005
 1.082960e-001  4.737600e-005  2.970247e-005
 1.096090e-001  8.318000e-006  2.957613e-005
 1.109210e-001  2.542800e-005  2.935610e-005
 1.122340e-001  2.513400e-005  2.908875e-005
 1.135470e-001  2.760900e-005  2.890410e-005
 1.148590e-001  2.953400e-005  2.866045e-005
 1.161720e-001  2.314000e-005  2.852785e-005
 1.174850e-001  5.039600e-005  2.833031e-005
 1.187970e-001  2.310000e-005  2.813490e-005
 1.201100e-001  5.450100e-005  2.794534e-005
 1.214230e-001  6.666800e-005  2.774165e-005
 1.227350e-001  6.061900e-005  2.757475e-005
 1.240480e-001  1.000200e-005  2.743529e-005
 1.253610e-001  3.754600e-005  2.722533e-005
 1.266730e-001  9.341900e-005  2.716514e-005
 1.279860e-001  7.672100e-005  2.701046e-005
 1.292990e-001  7.094200e-005  2.679310e-005
 1.306110e-001  8.200300e-005  2.663626e-005
 1.319240e-001  3.991900e-005  2.652709e-005
 1.332370e-001  2.591500e-005  2.638646e-005
 1.345490e-001  2.596600e-005  2.621752e-005
 1.358620e-001 -1.105400e-005  2.610213e-005
range-from: 4
range-to: 101
