
Sample:   c= 0 mg/ml  Code: 
 8.532400e-003  2.140930e-003  3.425870e-004
 9.845080e-003  2.631550e-003  2.552098e-004
 1.115780e-002  2.298560e-003  2.030273e-004
 1.247040e-002  1.880450e-003  1.689417e-004
 1.378310e-002  1.813320e-003  1.457710e-004
 1.509580e-002  1.737756e-003  1.282290e-004
 1.640850e-002  1.547001e-003  1.106522e-004
 1.772110e-002  1.629936e-003  1.016333e-004
 1.903380e-002  1.546160e-003  9.396811e-005
 2.034650e-002  1.354139e-003  8.767779e-005
 2.165920e-002  1.216967e-003  8.251301e-005
 2.297180e-002  1.311070e-003  7.852874e-005
 2.428450e-002  1.361463e-003  7.479429e-005
 2.559720e-002  1.400299e-003  7.204564e-005
 2.690990e-002  1.339805e-003  6.970597e-005
 2.822260e-002  1.300403e-003  6.730215e-005
 2.953520e-002  1.058512e-003  6.548229e-005
 3.084790e-002  1.040966e-003  6.345328e-005
 3.216060e-002  1.179083e-003  6.166000e-005
 3.347330e-002  1.078621e-003  6.009004e-005
 3.478590e-002  1.098827e-003  5.839686e-005
 3.609860e-002  1.109717e-003  5.696618e-005
 3.741130e-002  1.042403e-003  5.566053e-005
 3.872400e-002  9.589430e-004  5.445863e-005
 4.003660e-002  8.353800e-004  5.350648e-005
 4.134930e-002  8.589610e-004  5.223868e-005
 4.266200e-002  7.622920e-004  5.119460e-005
 4.397470e-002  6.948350e-004  5.035971e-005
 4.528740e-002  6.724940e-004  4.952741e-005
 4.660000e-002  6.454870e-004  4.863886e-005
 4.791270e-002  6.157450e-004  4.786387e-005
 4.922540e-002  6.196160e-004  4.723603e-005
 5.053810e-002  7.058330e-004  4.639479e-005
 5.185070e-002  5.855350e-004  4.577767e-005
 5.316340e-002  5.027530e-004  4.498203e-005
 5.447610e-002  4.816330e-004  4.427718e-005
 5.578880e-002  4.397330e-004  4.372902e-005
 5.710140e-002  4.931220e-004  4.293310e-005
 5.841410e-002  4.896310e-004  4.258510e-005
 5.972680e-002  4.488800e-004  4.213163e-005
 6.103950e-002  3.643120e-004  4.161108e-005
 6.235220e-002  3.020090e-004  4.109509e-005
 6.366480e-002  3.305820e-004  4.042904e-005
 6.497750e-002  3.286320e-004  3.997832e-005
 6.629020e-002  3.823380e-004  3.949634e-005
 6.760290e-002  3.158830e-004  3.913089e-005
 6.891550e-002  2.521860e-004  3.870884e-005
 7.022820e-002  2.653800e-004  3.836083e-005
 7.154090e-002  2.887540e-004  3.790787e-005
 7.285360e-002  3.083850e-004  3.752320e-005
 7.416630e-002  2.582460e-004  3.724071e-005
 7.547890e-002  2.377230e-004  3.691916e-005
 7.679160e-002  2.129440e-004  3.654331e-005
 7.810430e-002  2.075360e-004  3.621624e-005
 7.941700e-002  2.051680e-004  3.587142e-005
 8.072960e-002  1.998900e-004  3.550788e-005
 8.204230e-002  2.092580e-004  3.513165e-005
 8.335500e-002  1.832300e-004  3.484483e-005
 8.466770e-002  1.712020e-004  3.443085e-005
 8.598030e-002  1.838620e-004  3.417653e-005
 8.729300e-002  1.539260e-004  3.389645e-005
 8.860570e-002  1.500780e-004  3.356421e-005
 8.991840e-002  2.089370e-004  3.327725e-005
 9.123110e-002  1.406150e-004  3.302872e-005
 9.254370e-002  1.191150e-004  3.276055e-005
 9.385640e-002  1.529120e-004  3.261847e-005
 9.516910e-002  1.340060e-004  3.230383e-005
 9.648180e-002  1.201570e-004  3.205216e-005
 9.779440e-002  1.348730e-004  3.180975e-005
 9.910710e-002  1.181200e-004  3.168432e-005
 1.004200e-001  9.358400e-005  3.146430e-005
 1.017320e-001  1.328640e-004  3.117910e-005
 1.030450e-001  1.093270e-004  3.098610e-005
 1.043580e-001  6.195300e-005  3.083108e-005
 1.056700e-001  6.888000e-005  3.047822e-005
 1.069830e-001  5.691100e-005  3.026518e-005
 1.082960e-001 -7.676000e-006  3.012291e-005
 1.096090e-001  1.490000e-007  3.004863e-005
 1.109210e-001  7.205000e-006  2.981311e-005
 1.122340e-001  3.154300e-005  2.956689e-005
 1.135470e-001  3.994100e-005  2.938673e-005
 1.148590e-001  5.682900e-005  2.915734e-005
 1.161720e-001  4.557200e-005  2.901592e-005
 1.174850e-001  4.929300e-005  2.879122e-005
 1.187970e-001  3.965600e-005  2.860951e-005
 1.201100e-001  8.076600e-005  2.842893e-005
 1.214230e-001  1.055900e-004  2.823116e-005
 1.227350e-001  6.659500e-005  2.803072e-005
 1.240480e-001  1.787100e-005  2.789273e-005
 1.253610e-001  6.827600e-005  2.770202e-005
 1.266730e-001  7.376100e-005  2.758914e-005
 1.279860e-001  6.347700e-005  2.743655e-005
 1.292990e-001  8.168500e-005  2.723539e-005
 1.306110e-001  6.894000e-005  2.705523e-005
 1.319240e-001  3.313400e-005  2.695277e-005
 1.332370e-001  4.382900e-005  2.683594e-005
 1.345490e-001  6.240800e-005  2.668263e-005
 1.358620e-001  3.112200e-005  2.657021e-005
range-from: 4
range-to: 101
